datetime,vehicle_id,speed,longitude,latitude,lane_id,running_position,cell_id,acting_frequency,transmission_power,traffic_rules_obeyed,processing_power,available_storage,direct_trust,indirect_trust,total_trust,distance,resources,group_leader
2024-02-25 16:52:04,veh249,0.0,127.02689532074416,37.50267705089587,-117790045#0_0,0.0,"(6, 11)",18,2.644265304751724,False,1.7869646098994127,80,6.193279591425517,3.8573063851417326,5.492487629540381,6260.421390144472,40.89348230494971,False
2024-02-25 16:51:36,veh105,0.0,127.0262602858509,37.50066537004373,218877837#1_6,0.0,"(6, 11)",18,1.171262169269083,True,2.6488706055795155,16,6.151378650780725,3.85921097335286,5.463728347552365,6260.423459890445,9.324435302789755,False
2024-02-25 16:51:48,veh181,54.35,127.02688054921968,37.503516772091565,-802110008_0,0.0,"(6, 11)",6,1.6318952814871268,False,2.072989918405666,3,2.2895685844461378,4.034747794549887,2.813122347477263,6260.420660426126,2.536494959202833,False
2024-02-25 16:52:12,veh274,0.0,127.02602657262148,37.50133364023815,521770119#3_6,0.0,"(6, 11)",8,0.8898898988673491,True,2.235747932738293,77,3.0669669696602044,3.9994115043128833,3.346700330056008,6260.422985633641,39.617873966369146,False
2024-02-25 16:51:39,veh126,0.0,127.02602657262148,37.50133364023815,521770119#3_6,0.0,"(6, 11)",11,3.701893208978032,True,1.7905241266945089,90,4.81056796269341,3.920156913720464,4.543444648001526,6260.422985633641,45.89526206334725,False
2024-02-25 16:52:12,veh273,0.0,127.0270541294866,37.49966594746712,520307304#1_0,0.0,"(6, 11)",3,0.9740773784187508,False,1.2703312131278266,15,1.192223213525625,4.084627129591727,2.059944388345456,6260.423956025403,8.135165606563913,False
2024-02-25 16:51:25,veh28,0.0,127.02749382195222,37.50008376524944,256787796#3_0,0.0,"(6, 11)",5,1.911633969640574,True,1.3350268569939785,64,2.473490190892172,4.026387721529613,2.939359450083404,6260.423378500513,32.66751342849699,False
2024-02-25 16:51:34,veh91,0.0,127.02542698585204,37.50274007719022,521766180#1_4,0.0,"(6, 11)",3,4.371976433191459,True,1.8928716754008048,87,2.6115929299574376,4.020110324299373,3.0341481482600186,6260.422039185978,44.4464358377004,False
2024-02-25 16:51:55,veh204,0.0,127.028014217327,37.502480900640975,-26163000#0_0,0.0,"(6, 11)",5,4.69783429744564,False,1.2054143994273951,20,2.909350289233692,4.006575898877725,3.238517972126902,6260.421025532812,10.602707199713697,False
2024-02-25 16:51:33,veh90,52.14,127.02688054921968,37.503516772091565,-802110008_0,0.0,"(6, 11)",11,0.9003924154345795,True,2.847754360588832,11,3.9701177246303736,3.9583591972687846,3.9665901664218968,6260.420660426126,6.923877180294416,False
2024-02-25 16:51:30,veh65,0.0,127.02644409444332,37.500470619793376,521770119#1_6,0.0,"(6, 11)",6,0.9001185701129669,True,1.989323024893063,84,2.4700355710338897,4.026544749704988,2.9369883246352195,6260.423542601086,42.99466151244653,False
2024-02-25 16:51:28,veh54,0.0,127.02670967702916,37.49988904848219,521770119#0_6,0.0,"(6, 11)",10,2.1668258622179626,True,1.9209381107341927,40,4.050047758665389,3.954726013903557,4.02145123523684,6260.423925497616,20.960469055367096,False
2024-02-25 16:51:40,veh136,0.0,127.02882145661547,37.50090504231257,129733424#0_0,0.0,"(6, 11)",10,4.128160602607166,False,1.1883083245293666,46,4.23844818078215,3.946162358352795,4.150762434053344,6260.422021029441,23.594154162264683,False
2024-02-25 16:51:32,veh80,0.0,127.02592901231642,37.50167965754485,521766180#0_4,0.0,"(6, 11)",8,0.965734480019966,True,1.9876646556684616,44,3.0897203440059897,3.998377260024438,3.362317418811524,6260.422728823127,22.99383232783423,False
2024-02-25 16:52:17,veh297,0.0,127.0270856673706,37.50212944305502,-417750337#3_0,0.0,"(6, 11)",13,3.6178073794070857,False,2.8163275605993663,43,4.9853422138221255,3.91221262957825,4.663403338548963,6260.421779329882,22.908163780299684,False
2024-02-25 16:52:15,veh283,0.0,127.02780709524166,37.5007711747068,129733424#1_0,0.0,"(6, 11)",11,0.8795985885905283,False,2.0226405391072646,33,3.5638795765771585,3.97682456763484,3.6877630738944633,6260.422625067125,17.511320269553632,False
2024-02-25 16:51:23,veh19,0.0,127.02535849939764,37.50272146446248,521766180#1_6,0.0,"(6, 11)",18,0.2615618669958738,True,2.9555303034057703,69,5.878468560098762,3.8716159774747663,5.276412785311564,6260.4220883696735,35.97776515170288,False
2024-02-25 16:51:25,veh31,0.0,127.02605834478922,37.50060188268214,218877837#1_0,0.0,"(6, 11)",12,0.1935453537731395,False,1.3298845354513462,54,3.658063606131941,3.972543475382349,3.7524075669070633,6260.423612465489,27.664942267725674,False
2024-02-25 16:51:57,veh212,0.0,127.02684854880064,37.49960957969584,520307304#1_6,0.0,"(6, 11)",10,1.5391748230725628,True,1.1415980379357176,96,3.861752446921769,3.9632848917100847,3.892212180358264,6260.424104099299,48.57079901896786,True
2024-02-25 16:51:52,veh193,0.0,127.02768883292153,37.49967048758334,256787796#4_0,0.0,"(6, 11)",15,0.2406852772315066,True,2.347999633425748,25,4.972205583169452,3.912809749153372,4.654386832964628,6260.423647582062,13.673999816712874,False
